"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0610"	75	74	80	2584	2490	3433
"ECs_0611"	8	7	3	1247	1273	1898
"ECs_0612"	64	74	102	3007	2731	3687
"ECs_0613"	224	216	264	3542	3021	4886
"ECs_0614"	6296	5795	7200	3729	4222	6576
"ECs_0615"	1800	1440	1688	1441	1597	2241
"ECs_0616"	2609	2602	3117	3617	4215	5658
"ECs_0617"	189	147	177	235	255	334
"ECs_0618"	309	328	346	314	392	441
"ECs_0619"	247	207	248	1810	2035	2436
"ECs_0620"	513	490	571	370	383	660
"ECs_0621"	208	196	229	169	155	329
"ECs_0622"	94	70	91	100	94	160
"ECs_0623"	248	224	259	622	537	672
"ECs_0624"	42	37	52	130	131	111
"ECs_5381"	5	12	7	12	12	9
"ECs_0625"	616	593	778	693	771	780
"ECs_0626"	70	67	72	42	54	65
"ECs_0627"	53	40	65	94	98	75
"ECs_0628"	25	32	56	97	66	64
"ECs_0629"	46	40	83	126	134	119
"ECs_0630"	71	71	132	157	113	100
"ECs_0631"	122	115	126	328	305	373
"ECs_0632"	63	84	96	266	225	168
"ECs_0633"	152	155	215	285	226	281
"ECs_0634"	40	40	49	140	107	94
"ECs_0635"	49	45	54	128	109	123
"ECs_0636"	23	40	49	88	57	59
"ECs_0637"	603	500	692	6502	3720	6454
"ECs_5382"	57	43	52	406	565	526
"ECs_0638"	243	184	210	1767	4684	3388
"ECs_0639"	112	133	165	1948	4449	3292
"ECs_0640"	72	59	66	156	346	360
"ECs_0641"	141	115	132	150	158	238
"ECs_0642"	50	53	63	74	86	104
"ECs_0643"	601	526	640	1337	1533	2267
"ECs_0644"	29530	30674	31674	47066	58644	54696
"ECs_0645"	7815	8595	9299	18374	22120	13103
"ECs_0646"	904	747	953	978	1117	1490
"ECs_0647"	251	231	231	1453	1627	1805
"ECs_0649"	1460	1350	1752	2812	3159	4479
"ECs_0650"	1322	1292	1573	1705	1961	2511
"ECs_0651"	178	182	206	179	180	279
"ECs_0652"	53	46	55	37	39	53
"ECs_0653"	14	15	10	10	8	12
"ECs_0654"	24	30	18	32	32	49
"ECs_0655"	12	8	9	27	21	16
"ECs_0656"	2	3	2	4	4	5
"ECs_0657"	72	52	60	28	43	74
"ECs_0658"	650	594	628	558	551	899
"ECs_0659"	259	203	262	233	227	386
"ECs_0660"	292	259	335	224	239	346
"ECs_0661"	332	244	288	307	366	541
"ECs_0662"	46681	45096	64223	52940	59211	98662
"ECs_0663"	357	288	348	287	326	465
"ECs_0664"	295	267	330	874	776	1278
"ECs_0665"	5900	4583	5271	6598	6601	11454
"ECs_0666"	18872	16652	18396	10437	10336	15054
"ECs_0667"	437	411	450	338	404	512
"ECs_0668"	1846	1622	1764	1673	1727	2592
"ECs_0669"	1463	1407	1457	2266	2297	3183
"ECs_0670"	10692	9760	11249	7937	9456	12449
"ECs_0671"	4746	4824	6023	5689	5655	6913
"ECs_0672"	3603	3028	3356	2093	1987	3151
"ECs_0673"	8490	8034	8864	3882	4354	5835
"ECs_0674"	3066	3354	4353	1737	1782	2289
"ECs_0675"	6698	6433	7355	3353	4028	5235
"ECs_0676"	1106	1025	1131	1008	1145	1717
"ECs_0677"	1548	1337	1466	1553	1792	2462
"ECs_0678"	3355	3248	3601	3484	3747	4874
"ECs_0679"	5041	4422	4923	4977	5359	7865
"ECs_0680"	22880	20183	23571	22214	21764	31597
"ECs_0681"	235	208	250	2356	2576	3776
"ECs_0682"	139	112	125	413	471	712
"ECs_0683"	65	61	74	25	36	45
"ECs_0684"	185	171	175	125	151	201
"ECs_0685"	20	20	26	19	9	25
"ECs_0686"	30	22	22	12	19	34
"ECs_0687"	199	157	167	206	198	338
"ECs_0689"	128	112	143	136	119	189
"ECs_0690"	126	97	94	577	610	883
"ECs_0691"	254	170	179	1158	736	1617
"ECs_0692"	175	138	122	808	521	1079
"ECs_0693"	330	375	327	1532	1417	2175
"ECs_0694"	1407	1416	1621	11955	13632	17273
"ECs_0695"	5723	5741	7537	2953	3082	3956
"ECs_0696"	11220	10130	12050	7108	8541	11483
"ECs_0697"	1365	1190	1442	2008	2174	2955
"ECs_0698"	2924	2764	3156	5314	5782	7665
"ECs_0699"	8884	7957	9580	6248	6469	8650
"ECs_0700"	915	842	1015	1291	1239	1478
"glnX"	144	135	180	73	79	117
"glnV"	289	309	372	174	244	393
"metU"	70	87	136	48	64	112
"glnW"	250	334	349	125	152	267
"glnU"	822	766	974	342	376	706
"leuW"	391	378	552	187	189	490
"metT"	48	44	54	84	69	138
"ECs_0704"	470	395	460	3171	4782	6159
"ECs_0705"	2087	1883	2213	2198	2449	3424
"ECs_0706"	1728	1558	1797	1964	2259	2880
"ECs_0707"	901	894	964	1634	1638	2440
"ECs_0708"	950	884	865	2471	2654	3897
"ECs_0709"	1070	960	1122	1941	1496	2304
"ECs_0710"	15218	13101	14799	14137	15046	21651
"ECs_0711"	262	239	319	250	236	365
"ECs_0713"	411	362	473	339	355	479
"ECs_0714"	12683	11912	12895	17331	20269	22500
"ECs_0715"	7110	6424	7011	7778	8728	11630
"ECs_0716"	1492	1254	1410	767	767	1106
"ECs_0717"	899	777	961	964	1229	1698
"ECs_0718"	3190	2731	3135	3065	3264	4953
"ECs_0719"	6137	5531	6572	11446	9617	15508
"ECs_0720"	501	442	470	371	389	631
"ECs_0721"	357	269	305	226	253	447
"ECs_0722"	100	106	161	147	135	133
"ECs_0723"	452	434	655	697	561	799
"ECs_0724"	36	56	84	97	81	65
"ECs_0725"	105	99	127	118	130	154
"ECs_0726"	83	73	83	77	57	132
"ECs_0727"	0	0	0	0	4	2
"ECs_0728"	446	389	509	352	314	577
"ECs_0729"	157	127	189	132	108	134
"ECs_0730"	27	13	22	21	23	36
"ECs_0731"	19	13	16	24	16	29
"ECs_0732"	135	120	135	1364	1575	2246
"ECs_0733"	1054	988	1147	3567	3293	5079
"ECs_0734"	446	353	468	996	924	1768
"ECs_0735"	291	232	295	927	859	1220
"ECs_0736"	218	183	252	620	579	767
"ECs_0737"	370	350	492	1167	1155	1376
"ECs_0738"	245	264	387	743	622	714
"ECs_0739"	304	212	289	378	431	658
"ECs_0740"	153	192	204	226	172	229
"ECs_0741"	185	161	229	180	217	293
"ECs_0742"	99	99	126	102	116	154
"ECs_0743"	518	537	612	594	633	722
"ECs_0744"	99	92	109	79	105	133
"ECs_0745"	1093	856	841	10114	11150	14946
"ECs_0746"	634	703	652	11788	14109	17616
"ECs_0747"	104	124	83	2246	2573	3470
"ECs_0748"	626	713	719	15576	14746	18056
"ECs_0749"	516	545	497	7343	8613	10428
"ECs_0751"	1055	1053	1106	20151	17026	23740
"ECs_0752"	693	632	655	11149	10149	12374
"ECs_0753"	480	398	370	8761	4531	9618
"ECs_0754"	572	516	551	7126	5977	8625
"ECs_0755"	45	32	43	81	87	138
"ECs_0756"	49	23	35	48	40	63
"ECs_0757"	124	94	108	83	90	172
"ECs_0758"	120	101	100	65	50	104
"ECs_0759"	13	11	20	22	21	46
"ECs_0760"	129	114	112	158	150	238
"ECs_0761"	103	86	103	165	178	235
"ECs_0762"	52	67	62	108	113	163
"ECs_0763"	98	93	89	98	115	145
"ECs_0764"	9	5	9	9	17	19
"ECs_0766"	10	14	15	5	7	15
"ECs_0767"	24	23	34	22	15	33
"ECs_0768"	19021	12863	25525	7176	7184	11911
"ECs_0769"	8262	6190	11819	4318	4077	6310
"ECs_5391"	63	54	80	40	33	87
"ECs_0770"	1125	715	1373	660	747	1222
"ECs_0771"	3475	3003	3664	2181	2576	3487
"ECs_0772"	5241	4528	5472	3226	3432	4923
"ECs_0773"	2214	1948	2189	1396	1555	2218
"ECs_0774"	10458	8558	10398	6693	6696	9938
"ECs_0775"	19457	17026	20146	18985	20472	27471
"ECs_0776"	19168	17165	20274	16716	18299	23480
"ECs_0777"	10267	9644	11067	7742	8934	10883
"lysT"	6859	7116	8782	3260	4227	6556
"valT"	134	135	164	61	57	115
"lysW"	1183	1114	1321	466	680	986
"valZ"	335	318	413	117	182	238
"lysY"	3693	3520	4196	1387	1629	2277
"lysZ"	1609	1590	1825	518	642	930
"ECs_0778"	776	725	854	9907	10825	14191
"ECs_0779"	515	468	493	6181	6825	9499
"ECs_0780"	257	241	287	1720	1940	2220
"ECs_0781"	217	206	252	7769	9913	9196
"ECs_0782"	3297	2861	4809	8078	9383	16311
"ECs_0783"	6322	5391	5843	15349	15210	23530
"ECs_0784"	834	852	1154	2697	2796	3219
"ECs_0785"	554	504	560	1242	1256	1524
"ECs_0786"	425	376	437	892	809	1052
"ECs_0787"	532	472	510	1191	1101	1505
"ECs_0788"	516	434	497	1200	1396	1852
"ECs_0789"	895	758	766	885	828	1484
"ECs_0790"	253	303	410	526	673	1007
"ECs_0791"	785	721	774	1178	1209	1888
"ECs_0792"	348	280	326	447	352	638
"ECs_0793"	749	585	641	726	631	1040
"ECs_0794"	1304	1156	1217	1305	1275	1872
"ECs_0795"	812	803	950	8017	7675	10652
"ECs_0796"	46	50	49	123	118	190
"ECs_0797"	17	18	12	27	22	20
"ECs_0798"	53	31	40	44	32	58
"ECs_0799"	441	364	405	247	290	460
"ECs_0800"	2455	1932	2359	1454	2090	2417
"ECs_5702"	479	377	503	421	523	749
"ECs_0802"	5	0	3	1	4	2
"ECs_0804"	43	34	37	25	46	71
"ECs_0805"	10	8	6	8	9	14
"ECs_0806"	7	9	14	18	22	25
"ECs_0807"	4	2	4	1	3	2
"ECs_0808"	0	1	1	0	0	2
"ECs_0809"	25	18	29	44	31	53
"ECs_0810"	22	29	23	39	33	51
"ECs_0812"	7	6	5	8	8	14
"ECs_0813"	14	18	8	10	3	16
"ECs_0814"	768	737	803	330	401	522
"ECs_0815"	205	153	150	172	178	263
"ECs_0816"	271	247	270	104	76	182
"ECs_0817"	165	161	198	140	127	229
"ECs_0818"	34	24	34	16	13	46
"ECs_0819"	35	12	33	26	17	37
"ECs_0820"	4	2	3	5	4	4
"ECs_0821"	0	0	0	0	0	0
"ECs_0822"	12	9	10	7	8	22
"ECs_0824"	32	31	24	35	45	63
"ECs_0825"	119	116	132	116	126	220
"ECs_0826"	57	61	55	77	75	107
"ECs_0827"	17	19	19	15	21	22
"ECs_0829"	147	115	124	164	179	306
"ECs_0830"	14	9	4	11	13	19
"ECs_0831"	6	2	4	5	2	13
"ECs_0832"	8	9	18	29	19	26
"ECs_0833"	14	10	4	11	13	26
"ECs_0834"	88	69	73	107	103	160
"ECs_0835"	6	5	7	8	5	15
"ECs_0836"	4	1	1	6	0	7
"ECs_0837"	148	73	103	175	133	253
"ECs_0838"	13	6	10	10	12	33
"ECs_0839"	18	15	23	30	18	21
"ECs_0840"	1	0	2	2	0	0
"ECs_0841"	9	2	8	17	4	12
"ECs_0842"	206	210	258	315	259	345
"ECs_0843"	12	6	10	2	5	24
"ECs_0844"	10	11	11	19	10	42
"ECs_0845"	5	2	6	5	7	7
"ECs_0846"	108	107	131	97	90	174
"ECs_0847"	327	305	375	251	329	459
"ECs_0848"	41	28	35	21	28	63
"ECs_0849"	4	4	5	6	5	11
"ECs_0850"	489	433	549	573	648	947
"ECs_0851"	1001	971	1086	3523	3874	5557
"ECs_0852"	188	234	280	9087	10890	10699
"ECs_0853"	106	102	102	6993	6262	11231
"ECs_0854"	58	83	77	5116	5624	4754
"ECs_0855"	37	34	79	1638	2142	2145
"ECs_0856"	51	71	52	2356	3376	3695
"ECs_0857"	2413	2156	2359	4880	5153	7137
"ECs_0858"	2205	2046	2299	2698	3134	4311
"ECs_0859"	2766	2900	3494	5726	6886	8467
"ECs_0860"	459	350	453	1534	1722	2654
"ECs_0861"	207	193	256	909	839	1237
"ECs_0862"	11	17	37	135	56	42
"ECs_0863"	206	203	226	800	720	1285
"ECs_0864"	892	700	894	1918	2252	3105
"ECs_0865"	34	30	37	51	50	68
"ECs_0866"	132	120	138	689	725	977
"ECs_0867"	123	119	144	1225	1320	1434
"ECs_0868"	55	63	84	1020	1110	1155
"ECs_0869"	188	207	238	942	894	975
"ECs_0870"	119	101	93	730	828	1231
"ECs_0871"	134	101	112	820	872	1247
"ECs_0872"	192	200	248	2109	2019	2840
"ECs_0873"	48	78	87	1459	1249	1664
"ECs_0874"	86	79	117	806	844	1092
"ECs_0875"	24005	23507	29144	9524	10029	12964
"ECs_0876"	537	476	526	99	135	184
"ECs_0877"	1862	1655	1987	1492	1369	1867
"ECs_0878"	493	362	453	1000	656	1300
"ECs_0879"	588	649	789	1837	1732	1987
"ECs_0880"	581	515	771	3368	3497	721
"ECs_0881"	73	60	61	180	220	298
"ECs_0882"	101	93	111	254	275	368
"ECs_0883"	289	257	335	338	401	454
"ECs_0884"	54	45	57	246	319	236
"ECs_0885"	1064	754	824	566	431	1020
"ECs_0886"	277	217	227	1048	1223	1309
"ECs_0887"	1286	1353	1217	1978	2334	2517
"ECs_0888"	1192	1065	995	1767	2151	2582
"ECs_0889"	4040	3574	3405	9269	10634	14189
"ECs_0890"	3719	3743	3075	27079	35072	24360
"ECs_0891"	1786	1554	1888	1381	1489	2243
"ECs_0892"	56001	53281	56352	68690	88733	102310
"ECs_0893"	2759	2576	2932	810	914	1199
"ECs_0894"	632	431	506	672	652	1105
"ECs_0895"	386	283	307	502	408	700
"ECs_0896"	8892	8741	10246	5125	6053	6919
"ECs_0897"	20132	17601	19320	15106	14393	22118
"ECs_0898"	792	743	1962	2156	2431	13392
"ECs_0899"	626	553	1331	1019	1123	2915
"ECs_0900"	206	182	240	282	293	377
"ECs_0902"	34	27	33	29	26	64
"ECs_0903"	85	65	76	124	118	189
"ECs_0904"	751	760	1054	1097	1048	1279
"ECs_0905"	1507	1299	1562	1515	1811	2153
"ECs_0906"	325	349	345	2365	2793	3444
"ECs_0908"	447	460	445	2622	3129	3332
"ECs_0909"	320	231	266	2343	2706	3507
"ECs_0910"	127	94	89	525	630	733
"ECs_0911"	74	63	71	310	314	356
"ECs_0912"	76	66	70	81	80	109
"ECs_0913"	73	63	63	47	69	90
"ECs_5399"	153	143	146	361	379	584
"ECs_5400"	332	254	303	469	544	756
"ECs_0915"	9991	8516	10230	4561	4836	7030
"ECs_0916"	75	56	82	662	819	844
"ECs_0917"	84	83	109	1214	906	1763
"ECs_0918"	583	428	503	1327	1441	2331
"ECs_0919"	940	771	934	3883	4393	6226
"ECs_0920"	1370	1220	1524	1473	1805	2219
"ECs_0921"	1108	968	1018	943	970	1298
"ECs_0922"	2394	2296	2639	748	709	1001
"ECs_0923"	251	293	355	280	230	275
"ECs_0924"	340	239	308	854	828	1412
"ECs_0925"	375	324	390	937	800	1301
"ECs_0926"	149	137	149	307	382	527
"ECs_0927"	5327	5144	5852	3273	3468	4261
"ECs_0928"	498	382	462	548	533	477
"ECs_0929"	533	543	500	1656	1955	680
"ECs_0930"	131	91	136	143	140	225
"ECs_0931"	623	515	605	775	744	1202
"ECs_0932"	1013	1035	1458	1094	996	1080
"ECs_0933"	1848	1670	1975	2095	2479	3174
"ECs_0934"	1093	1164	1320	5562	6379	8649
"ECs_0935"	615	682	758	2595	2753	3657
"ECs_0936"	108	69	90	369	280	590
"ECs_0937"	220	187	232	766	620	1194
"ECs_0938"	150	119	130	358	364	524
"ECs_0939"	1236	963	1028	720	602	1005
"ECs_0940"	44	34	35	35	33	46
"ECs_0941"	2	5	6	13	7	10
"ECs_0942"	299	299	340	487	574	806
"ECs_0943"	355	302	360	11505	12106	24186
"ECs_0944"	667	575	726	3928	4467	6468
"ECs_0945"	297	296	357	3186	2946	3978
"ECs_0946"	646	548	700	7194	7456	11543
"ECs_0947"	748	724	977	5777	6191	8743
"ECs_0948"	550	498	503	4203	4912	7210
"ECs_0949"	18	12	12	14	11	30
"ECs_0950"	7	1	3	3	8	4
"ECs_0952"	199	184	236	502	426	538
"ECs_0953"	381	424	501	734	771	784
"ECs_0954"	1036	944	1028	862	1071	1362
"ECs_0955"	401	422	493	1141	1343	1402
"ECs_0956"	552	575	762	2266	2353	2559
"ECs_0957"	416	479	463	10932	12303	13971
"ECs_0958"	61	47	68	79	64	97
"ECs_0959"	98	65	98	78	80	144
"ECs_0960"	1205	1071	1185	1005	1141	1526
"ECs_0961"	635	558	669	2437	2599	3476
"ECs_0962"	1068	1016	1149	1256	1354	1638
"ECs_0963"	5397	4984	5885	5004	6179	7304
"ECs_0964"	674	584	739	976	928	1176
"ECs_0965"	1147	949	1121	1312	1289	1907
"ECs_0966"	554	456	496	3167	3553	5361
"ECs_0967"	547	345	370	1387	1048	1629
"ECs_0968"	5665	4252	4622	14031	9909	19830
"serW"	555	584	641	223	242	300
"ECs_0969"	17375	16001	18704	14017	15102	21869
"ECs_0970"	1086	1071	1374	1347	1551	2027
"ECs_0971"	2939	2860	3491	2650	3055	3468
"ECs_0972"	1231	1225	1469	1033	1294	1516
"ECs_0973"	9632	9759	11311	10721	12236	15991
"ECs_0974"	2323	2161	2498	8708	11245	13567
"ECs_0975"	10047	8659	10999	13900	15103	20021
"ECs_0976"	1403	873	983	2284	1311	3824
"ECs_0977"	2088	1837	2261	2977	2829	3843
"ECs_0978"	15445	13631	16006	15910	18324	24329
"ECs_0979"	292	259	241	230	182	335
"ECs_0980"	77	74	81	65	52	64
"ECs_0981"	246	257	305	1098	1089	1389
"ECs_0982"	327	373	396	19062	18873	33049
"ECs_0983"	8559	8047	9601	807	701	1190
"ECs_0984"	661	544	622	236	248	359
"ECs_0985"	1341	1219	1379	1765	1931	2754
"ECs_0986"	19859	17700	20946	54099	58261	77370
"ECs_0987"	1418	987	1078	1789	1404	2842
"ECs_0988"	33046	30969	35899	17428	18825	26953
"ECs_0989"	154	137	153	653	657	1093
"ECs_0990"	3656	3210	3985	20673	24466	36344
"ECs_0991"	1939	1630	1970	6506	6290	10610
"ECs_0992"	123	122	140	130	201	271
"ECs_0993"	16515	14415	16630	10320	12368	16151
"ECs_0994"	381735	299893	328170	241032	230921	382109
"ECs_0995"	4829	3957	4476	8188	8487	13175
"ECs_0996"	665	523	571	562	565	831
"ECs_0997"	14306	12735	13562	8121	9254	11823
"ECs_0998"	4614	4640	4945	3205	3037	3610
"ECs_0999"	1075	890	1023	1554	1722	2339
"ECs_1000"	143	105	103	202	127	328
"ECs_1001"	1295	1034	1110	1860	1806	2660
"ECs_1002"	624	534	569	621	674	959
"ECs_1003"	493	308	367	411	348	651
"ECs_1004"	1362	1320	1340	1375	1538	1993
"ECs_1005"	1198	975	1073	1520	1450	2288
"ECs_1006"	795	653	762	1143	1064	1553
"ECs_1007"	5659	4707	5356	8692	7041	10829
"ECs_1008"	2717	2570	3003	5944	7072	8791
"ECs_1009"	8218	9413	11210	8659	7353	9794
"ECs_1010"	8546	8690	10085	7351	7111	9058
"ECs_1011"	12543	10627	13076	35875	34851	58081
"ECs_1012"	8249	6704	10792	51360	71310	75066
"ECs_1013"	14456	13848	15737	18156	20677	27864
"ECs_1014"	9880	8929	10503	16253	18435	24535
"ECs_1015"	3197	2990	3651	6356	7084	7764
"ECs_1016"	47	58	56	194	179	260
"ECs_1017"	15	23	18	62	77	56
"ECs_1018"	34	28	39	200	240	138
"ECs_1019"	30	30	35	221	277	172
"ECs_1020"	23	46	53	181	234	158
"ECs_1021"	62	50	60	57	56	67
"ECs_1022"	46	42	47	16	29	59
"ECs_1023"	137	121	134	144	171	254
"ECs_1025"	151	133	126	152	180	268
"ECs_1026"	22	30	19	31	30	48
"ECs_1027"	22	17	16	26	22	32
"ECs_1028"	135	119	163	158	173	258
"ECs_1029"	2772	2604	2900	6605	6409	12222
"ECs_1030"	805	504	494	1015	578	1764
"ECs_1031"	1712	1416	1624	1951	2114	3148
"ECs_1032"	9344	7736	8366	7089	6031	9751
"ECs_1033"	8654	8008	8667	7507	6236	9875
"ECs_1034"	3061	2986	3506	2711	2575	3493
"ECs_1035"	5122	4389	4995	4324	4615	7064
"ECs_1036"	1337	1402	1770	1699	1541	1955
"ECs_1037"	1674	1408	1642	5418	2845	9927
"ECs_1038"	16674	17332	21461	12395	13654	17902
"ECs_1039"	9310	8095	9200	6106	6840	8423
"ECs_1040"	909	730	865	1202	1438	1883
"ECs_1041"	162496	150758	169326	252969	326092	348107
"ECs_1042"	3253	2926	3726	3164	3904	5177
"ECs_1043"	260	190	233	343	300	589
"ECs_1044"	3741	3503	3854	3385	3768	4802
"ECs_1045"	1194	1040	1192	1036	1217	1698
"ECs_1046"	1115	838	1064	1396	1144	2114
"ECs_1047"	362	307	352	706	766	1041
"ECs_1048"	160	134	171	496	521	851
"ECs_1049"	395	407	443	1676	1741	2739
"ECs_1050"	1924	1657	1810	2429	3018	3789
"ECs_1051"	5091	4321	4712	2449	2514	3886
"ECs_1052"	217	180	210	472	528	782
"ECs_1053"	698	675	766	1096	1240	1759
"ECs_1054"	2409	2022	3013	23482	27401	37767
"ECs_1055"	289	237	240	420	398	745
"ECs_1056"	18	10	6	22	23	44
"ECs_1057"	30	26	26	35	44	68
"ECs_1058"	6	5	6	5	5	11
"ECs_1059"	6	11	12	6	12	23
"ECs_1061"	42	28	38	26	21	34
"ECs_1063"	62	84	55	39	51	61
"ECs_1064"	3	2	2	2	2	1
"ECs_1065"	35	34	48	30	23	54
"ECs_1067"	3172	3040	3553	3813	4653	6255
"ECs_1068"	1175	981	1221	1115	1421	1851
"ECs_1069"	3940	3698	4262	2942	3499	4533
"ECs_1070"	62	58	66	86	93	141
"ECs_1071"	74	66	81	64	82	107
"ECs_5703"	152	116	177	251	300	410
"ECs_1073"	144	118	166	202	129	280
"ECs_1074"	88	58	50	65	71	132
"ECs_1075"	112	81	104	111	105	185
"ECs_1076"	121	81	112	66	42	105
"ECs_1077"	146	118	163	116	139	169
"ECs_1079"	641	608	750	472	644	753
"ECs_1080"	2033	2151	2734	1219	1130	2302
"ECs_1082"	129	102	102	78	80	105
"ECs_1083"	7	6	8	6	7	15
"ECs_1084"	27	10	17	21	21	28
"ECs_1085"	129	103	112	128	135	185
"ECs_1086"	841	794	980	411	517	720
"ECs_1087"	411	396	472	570	704	928
"ileZ1"	0	0	1	1	0	1
"argN1"	0	0	0	0	0	0
"argO1"	108	96	129	41	53	82
"ECs_1088"	206	217	281	299	316	430
"ECs_1089"	22	15	33	39	43	48
"ECs_1090"	105	89	89	121	108	175
"ECs_1091"	14	7	13	12	6	14
"ECs_1092"	10	5	6	4	6	16
"ECs_1093"	0	0	0	0	0	0
"ECs_1094"	3	3	2	1	2	5
"ECs_1096"	571	517	606	203	240	357
"ECs_1097"	156	172	177	145	179	293
"ECs_1100"	12	16	12	17	8	18
"ECs_1101"	23	23	17	44	51	86
"ECs_1102"	0	0	0	0	0	0
"ECs_1103"	0	0	0	0	0	0
"ECs_1104"	4	2	4	3	3	7
"ECs_1105"	11	12	9	12	19	23
"ECs_1106"	0	0	0	0	0	0
"ECs_5406"	0	0	0	0	0	0
"ECs_1107"	0	0	0	0	0	0
"ECs_1108"	0	0	0	0	0	0
"ECs_1109"	0	0	0	0	0	0
"ECs_1110"	0	0	0	0	1	0
"ECs_1111"	1	0	0	0	0	0
"ECs_1112"	0	0	0	0	0	0
"ECs_1113"	0	0	0	0	0	0
"ECs_1114"	4	2	5	3	2	8
"ECs_1115"	0	1	4	2	1	3
"ECs_1116"	15	9	9	8	11	22
"ECs_1117"	17	4	17	22	17	27
"ECs_1118"	51	22	34	58	57	62
"ECs_1120"	43	50	58	355	386	154
"ECs_1121"	1035	988	1200	1025	1000	1437
"ECs_1122"	66	59	70	63	74	105
"ECs_1123"	17	9	19	23	14	21
"ECs_1124"	27	19	22	31	33	67
"ECs_1126"	13	6	8	15	12	34
"ECs_1127"	1134	1064	1257	327	360	540
"serT"	705	754	1006	147	194	300
"ECs_1128"	21	14	24	73	77	121
"ECs_1129"	58	49	66	129	115	214
"ECs_1130"	49	37	49	73	81	132
"ECs_1131"	37	43	42	53	61	78
"ECs_1132"	24	20	26	31	33	73
"ECs_1133"	56	41	53	96	93	159
"ECs_1134"	211	179	216	319	326	527
"ECs_1135"	154	102	141	230	256	373
"ECs_1136"	287	253	300	531	584	779
"ECs_1137"	1602	1362	2055	922	1024	1444
"ECs_1138"	163	163	227	73	86	158
"ECs_1139"	570	438	707	270	285	418
"ECs_1140"	1065	839	1239	537	583	940
"ECs_1141"	315	289	473	178	151	279
"ECs_1142"	690	593	911	291	319	515
"ECs_1143"	2478	2366	3725	3008	2979	3973
"ECs_1145"	18253	17708	25391	1812	1790	3076
"ECs_1147"	217	202	267	112	122	148
"ECs_1148"	207	188	180	239	239	283
"ECs_1149"	80	86	71	137	118	226
"ECs_1150"	176	152	187	222	308	394
"ECs_1151"	42	29	34	65	70	65
"ECs_1152"	161	131	178	172	191	226
"ECs_1153"	150	154	145	412	490	678
"ECs_1154"	90	71	116	736	744	990
"ECs_1155"	319	349	467	4576	4524	6755
"ECs_1156"	32	16	22	39	22	59
"ECs_1158"	400	359	404	2616	2506	3906
"ECs_1159"	420	310	381	3272	2921	5022
"ECs_5704"	511	427	460	4485	1722	5630
"ECs_1160"	2909	2314	2593	2829	2905	4749
"ECs_1161"	47	50	65	61	54	102
"ECs_1162"	60	39	50	41	29	54
"ECs_1163"	32	37	25	26	32	51
"ECs_1164"	45	40	31	67	81	116
"ECs_1165"	8	8	7	11	18	33
"ECs_1166"	2	2	6	5	8	9
"ECs_1167"	3	5	8	10	10	17
"ECs_1168"	44	35	62	36	53	68
"ECs_1169"	86	88	99	115	142	194
"ECs_1170"	6	10	6	2	7	8
"ECs_1171"	9	7	7	8	11	14
"ECs_1172"	0	0	1	1	0	4
"ECs_1173"	0	0	0	0	2	1
"ECs_1174"	26	16	18	27	23	38
"ECs_1175"	25	21	22	37	49	41
"ECs_1176"	8	1	8	14	10	22
"ECs_1177"	0	2	2	1	2	1
"ECs_1178"	0	0	0	0	0	0
"ECs_1179"	19	16	23	34	27	26
"ECs_1180"	30	26	28	28	36	43
"ECs_1181"	39	30	38	48	37	46
"ECs_5705"	59	51	70	45	57	76
"ECs_1184"	6050	5563	6750	5372	6886	9274
"ECs_1185"	7032	6542	8001	4438	5525	7725
"ECs_1186"	63	70	60	72	81	136
"ECs_1187"	62	71	64	48	41	57
"ECs_1188"	2	6	7	5	8	14
"ECs_1189"	79	78	77	93	104	150
"ECs_1190"	117	94	105	156	189	215
"ECs_1191"	6	13	9	10	13	29
"ECs_1192"	6	1	3	8	0	8
"ECs_1193"	0	1	0	1	1	1
"ECs_1194"	0	0	0	0	0	0
"ECs_1195"	4	2	4	5	12	5
"ECs_1196"	6	4	7	10	6	20
"ECs_1199"	506	429	482	371	388	617
"ECs_1200"	19	15	11	16	14	30
"ECs_1201"	18	12	8	22	18	28
"ECs_1202"	0	0	1	0	2	0
"ECs_1203"	95	98	89	23	25	49
"ileZ2"	2523	2146	2445	2175	2403	3739
"argN2"	6	6	9	9	9	3
"argO2"	390	413	435	180	274	316
"ECs_1205"	169	159	148	108	108	171
"ECs_1206"	255	198	245	268	274	399
"ECs_1207"	498	481	575	713	790	1039
"ECs_1208"	0	0	0	0	0	0
"ECs_1209"	0	0	0	0	0	0
"ECs_5706"	123	127	148	203	238	269
"ECs_1210"	10	8	3	7	10	14
"ECs_1211"	16	19	14	33	47	57
"ECs_1212"	4	3	2	5	5	3
"ECs_1213"	0	0	0	0	0	0
"ECs_1214"	0	0	0	0	0	0
"ECs_5707"	0	0	0	0	0	0
"ECs_1215"	0	0	0	0	0	0
"ECs_1216"	0	0	0	0	0	0
"ECs_1217"	1062	1039	1074	1483	1607	2294
"ECs_1218"	63	42	45	48	57	66
"ECs_1219"	78	46	56	75	86	161
"ECs_1220"	243	204	241	310	294	455
"ECs_1221"	589	564	581	746	918	1197
"ECs_1222"	189	170	186	222	201	236
"ECs_1223"	290	289	337	369	458	618
"ECs_1224"	58	63	56	104	101	160
